Date,Adj Close,Close,High,Low,Open,Volume
2026-02-17,638.7431030273438,639.2899780273438,642.5999755859375,628.7999877929688,639.5,12674700
2026-02-18,642.6697387695312,643.219970703125,645.0,628.1500244140625,633.7999877929688,14649200
2026-02-19,644.2284545898438,644.780029296875,647.1900024414062,636.719970703125,638.5700073242188,10035700
2026-02-20,655.09912109375,655.6599731445312,663.3499755859375,638.780029296875,639.6900024414062,14183500
2026-02-23,636.7048950195312,637.25,657.7000122070312,636.0,652.5399780273438,8605900
2026-02-24,638.7531127929688,639.2999877929688,641.1099853515625,628.97998046875,633.0800170898438,10135600
2026-02-25,653.1307983398438,653.6900024414062,653.8800048828125,642.1400146484375,642.530029296875,11330700
2026-02-26,656.447998046875,657.010009765625,661.0,647.5,650.5499877929688,10637700
2026-02-27,647.62548828125,648.1799926757812,649.4400024414062,638.1199951171875,643.4500122070312,15703000
2026-03-02,653.0009155273438,653.5599975585938,659.9400024414062,634.5,637.1599731445312,9816100
2026-03-03,654.5196533203125,655.0800170898438,659.0399780273438,638.8400268554688,648.2899780273438,12263800
2026-03-04,667.1587524414062,667.72998046875,672.77001953125,657.6699829101562,657.9600219726562,10810100
2026-03-05,660.0049438476562,660.5700073242188,670.7000122070312,650.3099975585938,661.9299926757812,13341400
2026-03-06,644.308349609375,644.8599853515625,649.469970703125,636.1099853515625,647.9000244140625,13159400
2026-03-09,646.836181640625,647.3900146484375,647.75,626.780029296875,634.780029296875,13489700
2026-03-10,653.510498046875,654.0700073242188,660.2999877929688,649.0,653.5599975585938,9859300
2026-03-11,654.2998046875,654.8599853515625,659.1199951171875,648.3599853515625,654.760009765625,8977200
2026-03-12,637.6340942382812,638.1799926757812,653.5,636.9000244140625,648.75,11617500
2026-03-13,613.1849975585938,613.7100219726562,629.1699829101562,609.5499877929688,623.8900146484375,18957600
2026-03-16,627.4500122070312,627.4500122070312,634.75,623.0999755859375,632.0,15134900
2026-03-17,622.6599731445312,622.6599731445312,636.5499877929688,621.7000122070312,627.989990234375,10348800
2026-03-18,615.6799926757812,615.6799926757812,622.6500244140625,614.6099853515625,616.3400268554688,11726300
2026-03-19,606.7000122070312,606.7000122070312,613.0,602.260009765625,612.1500244140625,13247700
2026-03-20,593.6599731445312,593.6599731445312,603.9600219726562,587.25,603.530029296875,21214900
2026-03-23,604.0599975585938,604.0599975585938,608.6400146484375,599.010009765625,605.7899780273438,13638000
2026-03-24,592.9199829101562,592.9199829101562,601.0,591.0,599.0999755859375,10739700
2026-03-25,594.8900146484375,594.8900146484375,603.6699829101562,593.4000244140625,598.739990234375,12585000
2026-03-26,547.5399780273438,547.5399780273438,583.0,543.3499755859375,582.489990234375,35780100
2026-03-27,525.719970703125,525.719970703125,543.5999755859375,520.260009765625,540.0999755859375,30133000
2026-03-30,536.3800048828125,536.3800048828125,539.5499877929688,528.5399780273438,536.3800048828125,22795200
2026-03-31,572.1300048828125,572.1300048828125,573.6900024414062,546.77001953125,549.97998046875,32898300
2026-04-01,579.22998046875,579.22998046875,592.5499877929688,573.8200073242188,580.1300048828125,23608100
2026-04-02,574.4600219726562,574.4600219726562,578.5,559.7000122070312,566.0399780273438,13518500
2026-04-06,573.02001953125,573.02001953125,582.7899780273438,572.0,577.6900024414062,9515700
2026-04-07,575.0499877929688,575.0499877929688,575.22998046875,564.760009765625,572.47998046875,9580800
2026-04-08,612.4199829101562,612.4199829101562,629.9500122070312,591.8300170898438,606.0,32036600
2026-04-09,628.3900146484375,628.3900146484375,637.5,623.0,626.969970703125,19012900
2026-04-10,629.8599853515625,629.8599853515625,638.5800170898438,624.3300170898438,634.469970703125,13294800
2026-04-13,634.530029296875,634.530029296875,635.0,624.4000244140625,629.5,9538900
2026-04-14,662.489990234375,662.489990234375,666.260009765625,639.3699951171875,643.219970703125,17818000
2026-04-15,671.5800170898438,671.5800170898438,678.5,664.219970703125,667.0,14952600
2026-04-16,676.8699951171875,676.8699951171875,677.5800170898438,667.75,675.989990234375,9544800
2026-04-17,688.5499877929688,688.5499877929688,691.5,675.1300048828125,678.5999755859375,15272657
